LOLTeamCode,InGameName,LastName,FirstName,Role
AF,ikssu,Jeon,Ik-soo,Top
AF,LirA,Nam,Tae-yoo,Jungle
AF,Seonghwan,Yoon,Seong-hwan,Jungle
AF,Mickey,Son,Young-min,Mid
AF,Lindarang,Heo,Man-heung,Mid
AF,Sangyoon,Gwon,Sang-yun,AD
AF,SnowFlower,No,Hoi-jong,Support
CJE,Shy,Park,Sang-myeon,Top
CJE,Untara,Park,Ui-jin,Top
CJE,Bubbling,Park,Jun-hyeong,Jungle
CJE,Sky,Kim,Ha-neul,Mid
CJE,Bdd,Gwak,Bo-seong,Mid
CJE,Kramer,Ha,Jong-hun,AD
CJE,Ghost,Jang,Yong-jun,AD
CJE,MadLife,Hong,Min-gi,Support
ROXT,Smeb,Song,Kyung-ho,Top
ROXT,Peanut,Yoon,Wang-ho,Jungle
ROXT,KurO,Lee,Seo-haeng,Mid
ROXT,Cry,Hae,Sung-min,Mid
ROXT,PraY,Kim,Jong-in,AD
ROXT,GorillA,Kang,Beom-hyeon,Support
JA,TrAce,Yeo,Chang-dong,Top
JA,SoHwan,Kim,Jun-yeong,Top
JA,Winged,Park,Tae-jin,Jungle
JA,Kuzan,Lee,Seong-hyeok,Mid
JA,Blanc,Jin,Seong-min,Mid
JA,Pilot,Na,Woo-hyung,AD
JA,Chei,Choi,Sun-ho,Support
JA,Sweet,Lee,Eun-teak,Support
KTR,Ssumday,Kim,Chan-ho,Top
KTR,Score,Go,Dong-bin,Jungle
KTR,Fly,Song,Yong-jun,Mid
KTR,Arrow,No,Dong-hyeon,AD
KTR,Hachani,Ha,Seung-chan,Support
LG,Flame,Lee,Ho-jong,Top
LG,Expession,Koo,Bon-taek,Top
LG,Chaser,Lee,Sang-hyun,Jungle
LG,Crash,Lee,Dong-woo,Jungle
LG,CoCo,Shin,Jin-yeong,Mid
LG,Frozen,Kim,Tae-il,Mid
LG,Captain-Jack,Kang,Hyung-woo,AD
LG,Fury,Lee,Jin-yong,AD
LG,Pure,Kim,Jin-sun,Support
LG,Zzus,Jang,Joon-soo,Support
EMF,Hipo,Suk,Hyun-jun,Top
EMF,Crush,Kwon,Yeong-jae,Jungle
EMF,Edge,Lee,Ho-seong,Mid
EMF,SSol,Seo,Jin-sol,AD
EMF,GuGer,Kim,Do-yeop,Support
EMF,Roach,Kim,Sang-hui,Mid
SG,CuVee,Lee,Seong-jin,Top
SG,Helper,Kwon,Yeong-jae,Top
SG,Ambition,Kang,Chan-yong,Jungle
SG,Crown,Lee,Min-ho,Mid
SG,CoreJJ,Jo,Yong-in,AD
SG,Stitch,Lee,Seung-ju,AD
SG,Wraith,Kwon,Ji-min,Support
SBENU,SoaR,Lee,Gang-pyo,Top
SBENU,Soul,Seo,Hyeon-seok,Top
SBENU,Flawless,Sung,Yeon-jun,Jungle
SBENU,SaSin,Oh,Seung-ju,Mid
SBENU,Nuclear,Sin,Jeong-hyeon,AD
SBENU,Secret,Park,Ki-sun,Support
SKTT1,Duke,Lee,Ho-seong,Top
SKTT1,bengi,Bae,Seong-woong,Jungle
SKTT1,Blank,Kang,Sun-gu,Jungle
SKTT1,Faker,Lee,Sang-hyeok,Mid
SKTT1,Bang,Bae,Jun-sik,AD
SKTT1,Wolf,Lee,Jae-wan,Support
