Name,Code,CreatedDate,CoachFirstName,CoachLastName,Sponsor,Logo,Rank
Afreeca-Freecs,AF,2015-12-10,Hyun-jong,Kang,Afreeca,http://lol.esportspedia.com/w/images/7/70/Afreeca_Freecslogo_square.png,5
CJ-Entus,CJE,2012-07-04,Jung-suk,Park,CJ-Corporation,http://lol.esportspedia.com/w/images/b/bd/Cj-entus-500x.png,8
e-mFire,EMF,2016-01-01,Woo-cheul,Chae,Razer,http://lol.esportspedia.com/w/images/c/ce/EmFire_logo.png,10
Jin-Air,JA,2013-07-15,Sang-yong,Han,Jin-Air,http://lol.esportspedia.com/w/images/6/63/JinAirLogo.png,4
KT-Rolster,KTR,2012-10-27,Ji-hoon,Lee,KT-Skylife,http://lol.esportspedia.com/w/images/f/f8/KT_Rolsterlogo_square.png,2
Longzhu-Gaming,LG,2016-01-22,Dong-hoon,Kang,Coca-Cola,http://lol.esportspedia.com/w/images/4/42/LongZhu_Gaminglogo_square.png,7
ROX-Tigers,ROXT,2014-11-11,No-chul,Jeong,YY-TV,http://lol.esportspedia.com/w/images/e/e8/ROX_Tigers_logo.png,1
Samsung-Galaxy,SG,2013-09-17,Woo-beom,Choi,Samsung,http://lol.esportspedia.com/w/images/0/0e/Samsung_Galaxy.png,6
SBENU-Sonicboom,SBENU,2015-05-15,Jae-seok,Park,ITENJOY,http://lol.esportspedia.com/w/images/5/5a/SBENU_Sonicboomlogo_square.png,9
SK-Telecom-T1,SKTT1,2014-02-23,Jeong-gyun,Kim,SK-Telecom,http://lol.esportspedia.com/w/images/b/b7/SKT1.png,37
